name,category,lat,lon
Centre de loisirs associatif MUC Vacances,childcare,43.6268934,3.8639187
Crèche collective municipale Les Sept Nains,kindergarten,43.6142035,3.8795472
Centre de loisirs Association Espace Parallèle Mercredi Animé,childcare,43.6111882,3.90782
Centre de Loisirs Association Languedocienne pour la Jeunesse,childcare,43.6414168,3.8567841
Centre de loisirs Association UFOLEP Cévennes,childcare,43.6167204,3.8460703
Crèche associative La Bambinerie,kindergarten,43.6115692,3.8551489
Centre de loisirs Association Vacances Evasion,childcare,43.6044105,3.89416
Crèche associative Ricochet,kindergarten,43.6181211,3.9012512
Centre de loisirs de l'école maternelle Jean-Jacques Rousseau,childcare,43.6124462,3.8761409
Centre de loisirs de l'école Sigmund Freud,childcare,43.6261557,3.879637
Halte-garderie municipale L'Oustal Dou Caganis,kindergarten,43.5954156,3.8843711
Halte-garderie municipale La Coupole,kindergarten,43.6077742,3.8909382
Le Relais des Enfants,childcare,43.6105274,3.8786923
Centre de loisirs de la maison pour tous Geroges Brassens,childcare,43.6423666,3.8180757
Jardin d'enfants municipal Les Boutons d'Or,kindergarten,43.6220277,3.8884756
Centre de loisirs de la maison de quartier Frédéric Chopin,childcare,43.6161484,3.884062
Crèche associative Accroche Cœur,kindergarten,43.6176873,3.8821147
Centre de loisirs Association la PEP 34,childcare,43.634137,3.8309689
Centre de loisirs de la maison pour tous Léo Lagrange,childcare,43.6284867,3.816607
Crèche associative Gingko Biloba,kindergarten,43.6428346,3.8633874
Centre de loisirs de la maison pour tous Albert Dubout,childcare,43.6263509,3.8825938
Opéra Berlioz,theatre,43.6133632,3.8820588
Musée de l'Histoire de Montpellier,museum,43.6098384,3.8777584
Carré Sainte-Anne,arts_centre,43.6101827,3.8744629
Jardin d'enfant privé Le Petit Home,kindergarten,43.6158375,3.8628357
Le Saint-François,pharmacy,43.603272,3.882825
Le Ban des Gourmands,restaurant,43.6033694,3.8826831
La Corbeille des Primeurs,greengrocer,43.6029121,3.8826398
Le Carnot,bar,43.6032467,3.882227
Carrefour City,convenience,43.6029304,3.8812401
Pharmacie Sauvaire-Vianes,pharmacy,43.6028538,3.8806236
Parfums d'Asie,restaurant,43.6032107,3.8802644
Saveurs d'Afrique,restaurant,43.6045303,3.8825457
To Ly,fast_food,43.6046105,3.8823827
La St Louisienne,restaurant,43.6033966,3.8826027
E.Leclerc Drive,outpost,43.6033817,3.8824202
Le fournil Saint-François,bakery,43.6033452,3.8823327
François et Aneta Benezech,butcher,43.6029374,3.882729
La Tulipe,restaurant,43.6042512,3.8826349
Parma Pizza,restaurant,43.6039274,3.8826072
Comptoir de l'Arc,bar,43.6115022,3.87456
Atelier 29,restaurant,43.6170871,3.881105
Montpellier Beaux Arts,post_office,43.6172458,3.8812248
La Barbote,pub,43.6052067,3.8823519
,bakery,43.6053906,3.8825726
Sound Station,bar,43.6054674,3.8825337
Accent Français,language_school,43.6058538,3.8815876
Proxi,convenience,43.6070697,3.8806593
Le Virginie,newsagent,43.6071095,3.8809101
Chez Pinot,restaurant,43.60887,3.8748754
Le Maryland,newsagent,43.608571,3.8732477
Le Grain des Mots,books,43.607925,3.8739012
,kiosk,43.6066826,3.8761383
Crédit Agricole,bank,43.6064137,3.8757303
Banque Populaire,bank,43.6086738,3.8805308
Zooba,fast_food,43.6045886,3.882544
Kosmos,fast_food,43.6046657,3.88254
Devis cut,hairdresser,43.6054176,3.8829346
City Kebab,fast_food,43.6059357,3.8819899
Le Cheese Nan,fast_food,43.6069844,3.8809492
Le Diagonal,cinema,43.6077613,3.880375
Fame Café Brunch,cafe,43.6080157,3.8801755
Café Margaux,restaurant,43.6080559,3.8803341
Barberousse,bar,43.6085046,3.8804528
Pharmacie de la Comédie,pharmacy,43.6083103,3.8800331
École primaire Notre-Dame de Bonne-Nouvelle,school,43.6070596,3.8811091
Le Novelty,bar,43.610206,3.8761263
Café des Arts,bar,43.6100155,3.8761554
Les demoiselles de Montpellier,cafe,43.6117336,3.8781108
Boucherie Solavi,butcher,43.6098567,3.8774392
Artisan Services,locksmith,43.6086291,3.8733322
,restaurant,43.6079232,3.8756034
Le Petit Mickey,restaurant,43.6080067,3.875641
Matik Laverie,laundry,43.6060117,3.8819161
Maison de quartier Pierre Azéma,community_centre,43.6191463,3.9003286
,vacant,43.6149655,3.8863417
Arceaux Boucherie,butcher,43.6109018,3.8657437
19.7,furnace,43.6108858,3.8641922
La Cigale,restaurant,43.6113177,3.866483
Cena,restaurant,43.610721,3.8784484
Le Comptoir du Disque,music,43.6107619,3.8784077
Don Camillo,restaurant,43.6102932,3.8779405
Carrefour City,convenience,43.6058122,3.87615
Le Vizir,newsagent,43.6082847,3.8767785
Le Pamʼs,tobacco,43.6152519,3.8747083
RozFleurs,florist,43.6111883,3.8793137
Les 4 Saisons,tobacco,43.6114311,3.8787827
